0,1
168,130
168,143
169,155
171,168
174,181
180,193
190,202
202,209
216,212
229,211
242,205
252,197
258,187
262,175
265,163
268,151
269,138
178,120
185,114
194,112
204,113
212,116
231,118
240,116
250,116
258,120
263,127
221,129
220,138
220,148
219,157
208,163
213,165
219,167
224,166
230,164
188,131
194,129
201,128
208,131
201,133
194,133
233,134
241,132
248,133
253,136
247,137
240,136
200,180
207,177
214,174
218,176
223,175
230,178
236,182
229,187
223,189
218,189
212,188
206,185
203,180
213,180
218,181
223,181
233,182
223,180
218,181
213,180
